,,,stan,er
-1000,1.22E-13,-0.011058,-0.006818179,-62.18406295
-999.98,5.8642,-0.015846,-0.009873094,-60.49679342
-999.98,-5.9421,-0.0062079,-0.003723015,-66.74390073
-999.93,11.668,-0.020585,-0.012897057,-59.61006278
-999.93,-11.743,-0.001472,-0.000701187,-109.9298212
-999.85,-17.452,0.0031882,0.002272654,40.28530604
-999.85,17.452,-0.02531,-0.015911609,-59.06624904
-999.72,-23.467,0.0081,0.005406208,49.827762
-999.72,23.744,-0.030448,-0.019191597,-58.65276702
-999.58,29.062,-0.034797,-0.021965363,-58.41759583
-999.57,-29.404,0.012948,0.008500035,52.32877939
-999.39,-34.899,0.017439,0.011364353,53.45351999
-999.39,34.899,-0.039568,-0.025011101,-58.20175524
-999.18,-40.596,0.022093,0.014334591,54.12368521
-999.17,40.851,-0.044436,-0.028118323,-58.03218607
-998.92,-46.516,0.026931,0.017422722,54.5740076
-998.91,46.621,-0.049158,-0.031132399,-57.8998121
-998.63,-52.336,0.031691,0.020460381,54.88959247
-998.63,52.336,-0.053838,-0.034120123,-57.78958318
-998.31,-58.194,0.036485,0.023519638,55.1256862
-998.29,58.39,-0.058799,-0.037287438,-57.69117762
-997.95,-64.049,0.041278,0.026579461,55.30036398
-997.93,64.247,-0.063602,-0.040354688,-57.60746368
-997.56,-69.756,0.045954,0.029564203,55.43797921
-997.56,69.756,-0.068124,-0.043242156,-57.54071082
-997.17,75.188,-0.072586,-0.046091675,-57.4817998
-997.12,-75.87,0.050967,0.032764281,55.55659471
-996.68,81.384,-0.077679,-0.049345849,-57.41749538
-996.65,-81.739,0.055782,0.035838657,55.64757538
-996.19,-87.156,0.060233,0.038679295,55.72413972
-996.19,87.156,-0.082432,-0.052380691,-57.37096858
-995.71,-92.573,0.064686,0.041522924,55.78382614
-995.67,92.999,-0.087244,-0.055456869,-57.31865523
-995.16,-98.302,0.0694,0.044533348,55.83827087
-995.15,98.342,-0.091653,-0.05827346,-57.28086057
-995.08,21.105,-0.028375,-0.017909495,-58.43551294
-994.52,-104.53,0.074527,0.047809142,55.8844128
-994.52,104.53,-0.096762,-0.061539233,-57.23627881
-994.51,-28.276,0.012146,0.008007599,51.68092531
-994.42,-35.626,0.018175,0.01186452,53.18781816
-994.37,-2.9948,-0.0085997,-0.005264142,-63.36374139
-994.27,15.084,-0.023445,-0.014763171,-58.80734655
-994.26,3.1602,-0.013653,-0.008498192,-60.65769819
-994.25,-15.568,0.0017221,0.001340478,28.46907141
-994.21,9.1598,-0.01858,-0.011651073,-59.47029569
-994.16,-9.3435,-0.0033868,-0.001928491,-75.61917165
-994.02,31.757,-0.037141,-0.023526394,-57.8694984
-994.02,-22.013,0.007016,0.004728348,48.38163139
-993.91,-110.2,0.079201,0.050795002,55.92282007
-993.89,110.33,-0.10156,-0.064607702,-57.19488061
-993.83,-42.351,0.02371,0.015407195,53.88914422
-993.83,37.417,-0.041796,-0.026504733,-57.69259159
-993.26,-115.89,0.083905,0.053799808,55.95780528
-993.24,116.12,-0.10635,-0.067671981,-57.15514526
-993.15,43.64,-0.04693,-0.02979774,-57.4951672
-992.99,55.723,-0.056864,-0.036150017,-57.30006227
-992.97,-48.794,0.029028,0.018815508,54.27699189
-992.92,-54.696,0.033874,0.021913915,54.57758197
-992.81,62.497,-0.062436,-0.039713055,-57.21782345
-992.8,26.503,-0.032853,-0.020796661,-57.97247528
-992.8,49.273,-0.051573,-0.032771282,-57.37254283
-992.69,69.226,-0.067968,-0.043248339,-57.15748026
-992.63,-61.386,0.039374,0.02543339,54.81223755
-992.55,-121.87,0.088845,0.056957241,55.98543502
-992.55,121.87,-0.11112,-0.070721309,-57.12378904
-992.11,-67.264,0.044224,0.02853872,54.96140103
-992.09,76.783,-0.07421,-0.047245855,-57.07198091
-991.86,-73.952,0.049722,0.032055799,55.11078234
