,,,stan,er
-986.88,65.503,-0.06342,-0.041619532,-52.38037845
-986.75,-162.25,0.11904,0.078434557,51.76983828
-986.72,162.45,-0.14099,-0.092403516,-52.58077447
-986.61,124.87,-0.11103,-0.072882931,-52.34019575
-986.55,-129.97,0.093425,0.061739452,51.32139565
-986.3,-51.663,0.030788,0.020572487,49.6561879
-986.21,-83.336,0.056199,0.03732049,50.58484086
-986.14,45.155,-0.047096,-0.030870022,-52.56224862
-986.06,-124.47,0.089092,0.058919863,51.20877094
-985.81,25.979,-0.031672,-0.020689453,-53.08282928
-985.79,131.38,-0.11631,-0.076370502,-52.29702204
-985.74,-168.3,0.12396,0.081675214,51.77186984
-985.73,168.31,-0.14578,-0.09556188,-52.55036859
-985.73,-64.269,0.040937,0.027273432,50.09845609
-985.49,77.732,-0.073327,-0.048173814,-52.21339812
-985.14,88.687,-0.082154,-0.053991813,-52.16010499
-985,138.11,-0.12179,-0.079976545,-52.28214758
-985,-135.84,0.098266,0.064954367,51.28467107
-984.94,-77.028,0.051224,0.034066917,50.36288764
-984.9,-95.646,0.066156,0.043896953,50.70750042
-984.81,-173.65,0.12833,0.084546314,51.78662975
-984.81,173.65,-0.15016,-0.098444338,-52.53289652
-984.8,100.59,-0.091743,-0.060303627,-52.1351286
-984.01,144.94,-0.12736,-0.08365462,-52.24502914
-983.98,-141.44,0.10284,0.067981559,51.27631831
-983.98,-33.312,0.016107,0.010893274,47.86188665
-983.9,-89.631,0.061409,0.040794984,50.53076114
-983.87,178.9,-0.15447,-0.101287106,-52.50707196
-983.8,-101.8,0.071173,0.047221211,50.7225218
-983.73,-179.63,0.13322,0.087767046,51.78817843
-983.29,18.951,-0.026051,-0.016997803,-53.26098223
-983.19,-147.12,0.10746,0.071021608,51.3060652
-983.19,151.73,-0.13289,-0.087296875,-52.22767083
-983.09,107.22,-0.097216,-0.063951311,-52.01564832
-982.94,-22.736,0.0076017,0.005271557,44.20216659
-982.81,184.64,-0.1592,-0.104402782,-52.48635764
-982.69,-185.27,0.13784,0.090810285,51.78897333
-982.62,-153.06,0.11227,0.074182084,51.34382102
-982.6,-9.0528,-0.0034411,-0.002036942,-68.93457348
-982.53,37.843,-0.041325,-0.027108922,-52.44058736
-982.52,83.129,-0.077868,-0.051238049,-51.9730006
-982.26,56.58,-0.056466,-0.037121963,-52.10941444
-982.23,70.528,-0.067725,-0.044556469,-51.99813028
-982.19,94.714,-0.087224,-0.057408929,-51.9345531
-982.11,158.59,-0.13851,-0.09100653,-52.19786896
-982.09,11.74,-0.020242,-0.013161915,-53.7922147
-982.08,-2.0326,-0.0091107,-0.005791506,-57.3114173
-982.07,113.83,-0.10262,-0.067531933,-51.95774123
-982,-40.023,0.021579,0.014524621,48.56841997
-981.9,-57.613,0.035773,0.023912603,49.59893671
-981.9,-120.14,0.086047,0.057043382,50.84484306
-981.87,-108.12,0.076409,0.050711683,50.67336725
-981.82,4.7837,-0.014621,-0.009441211,-54.86360285
-981.63,-190.81,0.14238,0.093802798,51.78651716
-981.63,190.81,-0.16428,-0.107756289,-52.45513814
-981.6,-114.08,0.081211,0.053874729,50.74043263
-981.53,-46.296,0.026659,0.017889166,49.02316013
-981.53,-159.16,0.11726,0.077482807,51.3368
-981.26,-16.435,0.0025379,0.001922703,31.99644819
-981.24,120.52,-0.10808,-0.071145175,-51.91472999
-981.18,-164.89,0.12187,0.080500302,51.39073688
-981.04,-70.601,0.046291,0.030874522,49.93268543
-981,165.54,-0.14422,-0.094772982,-52.17417081
-980.95,-130.49,0.094431,0.06257304,50.91323646
-980.74,31.026,-0.035865,-0.023517756,-52.50179317
-980.71,49.712,-0.050983,-0.033524468,-52.07698575
-980.49,196.59,-0.16906,-0.110911479,-52.42786492
-980.47,-196.69,0.14721,0.096987616,51.78226511
-980.47,127.22,-0.11354,-0.074757757,-51.87721638
-980.41,63.142,-0.061859,-0.040721084,-51.90902128
-980.12,-83.403,0.056668,0.03774292,50.14206799
-980.07,-28.898,0.012642,0.008618813,46.67913661
-979.86,172.57,-0.14999,-0.09858532,-52.14232635
-979.72,133.94,-0.11903,-0.078381642,-51.85953877
-979.57,-175.52,0.13055,0.086218048,51.41841233
-979.36,202.1,-0.17363,-0.113923034,-52.40991505
-979.3,-202.41,0.15193,0.100097492,51.78202463
-978.92,140.65,-0.12452,-0.08200693,-51.84082664
-978.81,76.572,-0.072817,-0.047996149,-51.71425451
-978.78,101.41,-0.092902,-0.061247645,-51.68256775
-978.78,-96.174,0.067062,0.044628398,50.26754829
-978.75,-64.071,0.041146,0.027505908,49.58967906
-978.68,-169.93,0.12622,0.08343965,51.27100794
-978.63,-125.19,0.09042,0.060010263,50.67422757
-978.54,179.24,-0.15552,-0.102243832,-52.10697539
-978.52,43.123,-0.045732,-0.03008246,-52.02214386
-978.51,-136.86,0.0998,0.066171783,50.8195711
-978.5,24.204,-0.030389,-0.01991345,-52.60539645
-978.37,-51.345,0.030869,0.020706242,49.08064818
-978.15,-207.91,0.15648,0.103095349,51.78182253
-978.15,207.91,-0.17846,-0.117109798,-52.38690728
-978.07,147.45,-0.13008,-0.085684145,-51.81338303
-978.03,89.036,-0.082957,-0.054711805,-51.62541173
-977.77,-181.37,0.13546,0.089494349,51.36151138
-977.75,-76.946,0.051614,0.034445782,49.8412765
-977.54,185.9,-0.16099,-0.105847111,-52.09673481
-977.47,-103.11,0.072765,0.048419449,50.28052165
-977.47,154.22,-0.1356,-0.089317004,-51.81879643
-977.35,-143.03,0.10489,0.069545097,50.82299721
-976.93,-149.54,0.11015,0.073010194,50.86934398
-976.92,213.59,-0.18318,-0.120230178,-52.35775435
-976.91,108.44,-0.098746,-0.065155093,-51.55530602
-976.85,-213.93,0.16146,0.106380988,51.77524032
-976.85,-90.045,0.062264,0.041502068,50.02625887
-976.69,16.882,-0.024474,-0.016005979,-52.90536488
-976.69,-35.974,0.018468,0.012499006,47.75574664
-976.57,-156.16,0.1155,0.076524367,50.93231655
-976.5,161.3,-0.14142,-0.093159879,-51.8035461
-976.47,-187.2,0.1403,0.09270003,51.34838648
-976.21,-11.747,-0.0012033,-0.000557322,-115.9073466
-976.12,-22.879,0.0078457,0.005451717,43.91246033
-976.06,55.896,-0.056203,-0.03706046,-51.65219018
-975.9,69.371,-0.067156,-0.044318863,-51.52915925
-975.82,115.52,-0.10458,-0.069032488,-51.49388778
-975.78,-5.1157,-0.0065933,-0.004136825,-59.38068311
-975.72,-118.07,0.084989,0.056521356,50.36617438
-975.71,192.44,-0.16651,-0.109526708,-52.02684602
-975.61,219.51,-0.18813,-0.123498866,-52.33338234
-975.61,-219.53,0.16611,0.109447883,51.77086546
-975.38,168.41,-0.14728,-0.097040909,-51.77104399
