,,,stan,er
-1000,1.22E-13,-0.011154,-0.006818179,-63.5920635
-999.98,5.8642,-0.015983,-0.009873094,-61.88440296
-999.98,-5.9421,-0.0062612,-0.003723015,-68.17553621
-999.93,11.668,-0.020763,-0.012897057,-60.99022266
-999.93,-11.743,-0.0014844,-0.000701187,-111.6982518
-999.85,-17.452,0.0032161,0.002272654,41.51294547
-999.85,17.452,-0.025528,-0.015911609,-60.43631787
-999.72,-23.467,0.0081703,0.005406208,51.128119
-999.72,23.744,-0.030711,-0.019191597,-60.02315843
-999.58,29.062,-0.035097,-0.021965363,-59.7833825
-999.57,-29.404,0.01306,0.008500035,53.64642098
-999.39,-34.899,0.01759,0.011364353,54.78223617
-999.39,34.899,-0.03991,-0.025011101,-59.56914809
-999.18,-40.596,0.022284,0.014334591,55.45612643
-999.17,40.851,-0.04482,-0.028118323,-59.39784363
-998.92,-46.516,0.027164,0.017422722,55.91134167
-998.91,46.621,-0.049582,-0.031132399,-59.26173733
-998.63,-52.336,0.031966,0.020460381,56.2336535
-998.63,52.336,-0.054303,-0.034120123,-59.15241531
-998.31,-58.194,0.0368,0.023519638,56.46499252
-998.29,58.39,-0.059306,-0.037287438,-59.05088488
-997.95,-64.049,0.041635,0.026579461,56.64350633
-997.93,64.247,-0.064151,-0.040354688,-58.96790042
-997.56,-69.756,0.046351,0.029564203,56.78081939
-997.56,69.756,-0.068712,-0.043242156,-58.90049501
-997.17,75.188,-0.073213,-0.046091675,-58.84213222
-997.12,-75.87,0.051408,0.032764281,56.90257266
-996.68,81.384,-0.07835,-0.049345849,-58.77728553
-996.65,-81.739,0.056264,0.035838657,56.99249186
-996.19,-87.156,0.060753,0.038679295,57.06852822
-996.19,87.156,-0.083143,-0.052380691,-58.72833901
-995.71,-92.573,0.065245,0.041522924,57.13007044
-995.67,92.999,-0.087997,-0.055456869,-58.6764672
-995.16,-98.302,0.069999,0.044533348,57.18333029
-995.15,98.342,-0.092444,-0.05827346,-58.63825379
-995.08,21.105,-0.02862,-0.017909495,-59.80350239
-994.52,-104.53,0.075171,0.047809142,57.23143552
-994.52,104.53,-0.097596,-0.061539233,-58.59151182
-994.51,-28.276,0.012251,0.008007599,52.99217981
-994.42,-35.626,0.018333,0.01186452,54.51951968
-994.37,-2.9948,-0.0086737,-0.005264142,-64.76947843
-994.27,15.084,-0.023647,-0.014763171,-60.17561629
-994.26,3.1602,-0.013771,-0.008498192,-62.0462288
-994.25,-15.568,0.0017374,0.001340478,29.61045506
-994.21,9.1598,-0.018741,-0.011651073,-60.8521427
-994.16,-9.3435,-0.0034157,-0.001928491,-77.11775262
-994.02,31.757,-0.037462,-0.023526394,-59.2339234
-994.02,-22.013,0.007077,0.004728348,49.67172254
-993.91,-110.2,0.079886,0.050795002,57.27137794
-993.89,110.33,-0.10244,-0.064607702,-58.55694732
-993.83,-42.351,0.023915,0.015407195,55.21969144
-993.83,37.417,-0.042157,-0.026504733,-59.05461249
-993.26,-115.89,0.084629,0.053799808,57.30353499
-993.24,116.12,-0.10727,-0.067671981,-58.5146444
-993.15,43.64,-0.047335,-0.02979774,-58.85433069
-992.99,55.723,-0.057354,-0.036150017,-58.65552496
-992.97,-48.794,0.029279,0.018815508,55.61099785
-992.92,-54.696,0.034167,0.021913915,55.91463197
-992.81,62.497,-0.062975,-0.039713055,-58.57505977
-992.8,26.503,-0.033137,-0.020796661,-59.33807912
-992.8,49.273,-0.052018,-0.032771282,-58.73043905
-992.69,69.226,-0.068555,-0.043248339,-58.51475781
-992.63,-61.386,0.039714,0.02543339,56.14906288
-992.55,-121.87,0.089612,0.056957241,57.33205923
-992.55,121.87,-0.11208,-0.070721309,-58.48122999
-992.11,-67.264,0.044606,0.02853872,56.2999334
-992.09,76.783,-0.07485,-0.047245855,-58.42659711
-991.86,-73.952,0.050152,0.032055799,56.45219332
-991.85,-127.42,0.094249,0.059895393,57.35600771
-991.78,127.94,-0.11716,-0.073944415,-58.44333924
-991.36,-80.035,0.055216,0.035268915,56.55712609
-991.05,-133.5,0.099329,0.06311544,57.37670408
-991.01,133.77,-0.12206,-0.077052141,-58.41221158
-990.99,88.849,-0.084923,-0.053643369,-58.31034035
-990.79,-87.061,0.061065,0.038982119,56.64874324
-990.27,-139.17,0.10408,0.066127108,57.39384801
-990.27,139.17,-0.1266,-0.079930465,-58.38766862
-990.26,-93.179,0.066164,0.042218094,56.71953441
-990.25,100.34,-0.094502,-0.059717199,-58.24921806
-990.05,82.952,-0.080101,-0.050617633,-58.24722723
-989.93,-99.908,0.071753,0.045759188,56.80566747
-989.87,-32.116,0.015552,0.010124111,53.61348616
-989.51,144.49,-0.13107,-0.082768363,-58.3576083
-989.45,-144.91,0.10889,0.069176232,57.40955647
-989.37,20.337,-0.028081,-0.017618014,-59.3880031
-989.06,94.585,-0.089827,-0.056797734,-58.15243669
-988.88,106.38,-0.099619,-0.062990773,-58.14855923
-988.65,150.25,-0.13592,-0.085850666,-58.32142744
-988.59,-150.62,0.11369,0.07222127,57.41899846
-988.57,-106.19,0.077065,0.049149261,56.79788164
-988.55,-38.683,0.021051,0.013627528,54.47408987
-988.5,-5.8733,-0.0062614,-0.003744675,-67.20810564
-988.41,-19.137,0.0047865,0.003283912,45.75605942
-988.38,13.679,-0.022551,-0.014109201,-59.83187155
-988.33,39.123,-0.043749,-0.027590247,-58.56689973
-988.29,0.69802,-0.011736,-0.00722816,-62.36497348
-988.17,7.1758,-0.017134,-0.010663593,-60.67754961
-988.08,112.41,-0.10469,-0.0662204,-58.09327627
-988.07,72.199,-0.071298,-0.045087537,-58.13238978
-988.06,-12.824,-0.00046851,-5.86498E-05,-698.8260156
-987.93,-26.335,0.010789,0.007104891,51.85314291
-987.86,32.417,-0.038177,-0.024053045,-58.72002672
-987.84,-58.072,0.037206,0.023900632,55.669523
-987.84,-45.06,0.026382,0.017021761,54.98984334
-987.84,-112.07,0.08199,0.052279625,56.82974032
-987.69,-156.43,0.11858,0.075322279,57.43018044
-987.69,156.43,-0.14115,-0.089170274,-58.29266112
-987.68,-118.13,0.087016,0.055458059,56.90415764
-987.5,59.195,-0.060503,-0.038249099,-58.18150275
-987.33,51.975,-0.054496,-0.034435794,-58.2539372
-987.29,118.55,-0.10986,-0.069509811,-58.04963111
-986.97,-70.711,0.047762,0.030615822,56.00430582
-986.88,65.503,-0.065792,-0.041619532,-58.07962566
-986.75,-162.25,0.12348,0.078434557,57.43060845
-986.72,162.45,-0.14624,-0.092403516,-58.26237647
-986.61,124.87,-0.11517,-0.072882931,-58.02053809
-986.55,-129.97,0.09692,0.061739452,56.98228168
-986.3,-51.663,0.031943,0.020572487,55.27048234
-986.21,-83.336,0.058305,0.03732049,56.22785363
-986.14,45.155,-0.048858,-0.030870022,-58.27005145
-986.06,-124.47,0.092425,0.058919863,56.86560695
-985.81,25.979,-0.032856,-0.020689453,-58.80555187
-985.79,131.38,-0.12066,-0.076370502,-57.99293852
-985.74,-168.3,0.12859,0.081675214,57.44066426
-985.73,168.31,-0.15121,-0.09556188,-58.23255066
-985.73,-64.269,0.042472,0.027273432,55.72664404
-985.49,77.732,-0.076069,-0.048173814,-57.90528702
-985.14,88.687,-0.085225,-0.053991813,-57.84800433
-985,138.11,-0.12633,-0.079976545,-57.95881192
-985,-135.84,0.10194,0.064954367,56.94094976
-984.94,-77.028,0.053144,0.034066917,55.99885407
-984.9,-95.646,0.068634,0.043896953,56.35253921
-984.81,-173.65,0.13311,0.084546314,57.44033575
-984.81,173.65,-0.15575,-0.098444338,-58.21123223
-984.8,100.59,-0.095171,-0.060303627,-57.8196955
-984.01,144.94,-0.13211,-0.08365462,-57.92313756
-983.98,-141.44,0.10669,0.067981559,56.93961883
-983.98,-33.312,0.016712,0.010893274,53.41577262
-983.9,-89.631,0.063709,0.040794984,56.16870917
-983.87,178.9,-0.16022,-0.101287106,-58.18400382
-983.8,-101.8,0.073839,0.047221211,56.36828976
-983.73,-179.63,0.13819,0.087767046,57.45089609
-983.29,18.951,-0.027025,-0.016997803,-58.9911345
-983.19,-147.12,0.11147,0.071021608,56.95223421
-983.19,151.73,-0.13785,-0.087296875,-57.90943204
-983.09,107.22,-0.10085,-0.063951311,-57.69809633
-982.94,-22.736,0.0078884,0.005271557,49.64078706
-982.81,184.64,-0.16512,-0.104402782,-58.15670461
-982.69,-185.27,0.14298,0.090810285,57.44912512
-982.62,-153.06,0.11646,0.074182084,56.99208512
-982.6,-9.0528,-0.0035681,-0.002036942,-75.16940851
-982.53,37.843,-0.042871,-0.027108922,-58.14350685
-982.52,83.129,-0.080779,-0.051238049,-57.65432546
-982.26,56.58,-0.058578,-0.037121963,-57.7987688
-982.23,70.528,-0.070258,-0.044556469,-57.68305112
-982.19,94.714,-0.090484,-0.057408929,-57.61311225
-982.11,158.59,-0.14367,-0.09100653,-57.86779174
-982.09,11.74,-0.020998,-0.013161915,-59.53605989
-982.08,-2.0326,-0.0094501,-0.005791506,-63.17172386
-982.07,113.83,-0.10645,-0.067531933,-57.62913228
-982,-40.023,0.022389,0.014524621,54.14515754
-981.9,-57.613,0.037115,0.023912603,55.21104006
-981.9,-120.14,0.089267,0.057043382,56.48966967
-981.87,-108.12,0.07927,0.050711683,56.31506527
-981.82,4.7837,-0.015167,-0.009441211,-60.64675907
-981.63,-190.81,0.14769,0.093802798,57.44732912
-981.63,190.81,-0.17039,-0.107756289,-58.12534081
-981.6,-114.08,0.08425,0.053874729,56.38129624
-981.53,-46.296,0.027659,0.017889166,54.61313575
-981.53,-159.16,0.12164,0.077482807,56.989667
-981.26,-16.435,0.0026348,0.001922703,37.03622747
-981.24,120.52,-0.11211,-0.071145175,-57.5792041
-981.18,-164.89,0.12642,0.080500302,57.04288961
-981.04,-70.601,0.048026,0.030874522,55.55220562
-981,165.54,-0.14959,-0.094772982,-57.84034262
-980.95,-130.49,0.097963,0.06257304,56.55783994
-980.74,31.026,-0.037206,-0.023517756,-58.20386774
-980.71,49.712,-0.05289,-0.033524468,-57.76536839
-980.49,196.59,-0.17535,-0.110911479,-58.09905426
-980.47,-196.69,0.1527,0.096987616,57.44278162
-980.47,127.22,-0.11778,-0.074757757,-57.54886864
-980.41,63.142,-0.064173,-0.040721084,-57.59158122
-980.12,-83.403,0.058791,0.03774292,55.76696405
-980.07,-28.898,0.013117,0.008618813,52.19033657
-979.86,172.57,-0.15558,-0.09858532,-57.81254172
-979.72,133.94,-0.12347,-0.078381642,-57.52413049
-979.57,-175.52,0.13542,0.086218048,57.06688164
-979.36,202.1,-0.18008,-0.113923034,-58.07163222
-979.3,-202.41,0.15759,0.100097492,57.43651196
-978.92,140.65,-0.12916,-0.08200693,-57.49888507
-978.81,76.572,-0.075539,-0.047996149,-57.38554282
-978.78,101.41,-0.096373,-0.061247645,-57.34972446
-978.78,-96.174,0.069573,0.044628398,55.89401057
-978.75,-64.071,0.042689,0.027505908,55.19938291
-978.68,-169.93,0.13093,0.08343965,56.91580629
-978.63,-125.19,0.093802,0.060010263,56.30993026
-978.54,179.24,-0.16131,-0.102243832,-57.76990869
-978.52,43.123,-0.047443,-0.03008246,-57.70984368
-978.51,-136.86,0.10353,0.066171783,56.45641479
-978.5,24.204,-0.031525,-0.01991345,-58.31008336
-978.37,-51.345,0.032027,0.020706242,54.67316464
-978.15,-207.91,0.16231,0.103095349,57.4367818
-978.15,207.91,-0.18508,-0.117109798,-58.03972207
-978.07,147.45,-0.13493,-0.085684145,-57.47370673
-978.03,89.036,-0.086058,-0.054711805,-57.2932927
-977.77,-181.37,0.14052,0.089494349,57.01549962
-977.75,-76.946,0.053548,0.034445782,55.45589712
-977.54,185.9,-0.16698,-0.105847111,-57.7558406
-977.47,-103.11,0.075489,0.048419449,55.90636018
-977.47,154.22,-0.14065,-0.089317004,-57.47281503
-977.35,-143.03,0.10881,0.069545097,56.45962748
-976.93,-149.54,0.11427,0.073010194,56.51239162
-976.92,213.59,-0.18998,-0.120230178,-58.01357228
-976.91,108.44,-0.10243,-0.065155093,-57.20950717
-976.85,-213.93,0.16747,0.106380988,57.42474604
-976.85,-90.045,0.064596,0.041502068,55.64525598
-976.69,16.882,-0.025389,-0.016005979,-58.62197879
-976.69,-35.974,0.019162,0.012499006,53.30818806
-976.57,-156.16,0.11981,0.076524367,56.56450949
-976.5,161.3,-0.14668,-0.093159879,-57.44975352
-976.47,-187.2,0.14553,0.09270003,56.99024009
-976.21,-11.747,-0.0012465,-0.000557322,-123.6586948
-976.12,-22.879,0.0081414,0.005451717,49.33643964
-976.06,55.896,-0.058304,-0.03706046,-57.32130484
-975.9,69.371,-0.069667,-0.044318863,-57.19491836
-975.82,115.52,-0.10848,-0.069032488,-57.14340167
-975.78,-5.1157,-0.0068384,-0.004136825,-65.30551672
-975.72,-118.07,0.088168,0.056521356,55.99059717
-975.71,192.44,-0.1727,-0.109526708,-57.67843557
-975.61,219.51,-0.19511,-0.123498866,-57.9852561
-975.61,-219.53,0.17229,0.109447883,57.41738854
-975.38,168.41,-0.15277,-0.097040909,-57.42845187
-975.34,-193.13,0.15061,0.09593547,56.99094384
-975.34,-163.48,0.12607,0.080514393,56.58069923
-975.31,9.2034,-0.018926,-0.011878561,-59.32905693
-975.29,36.136,-0.041667,-0.026435255,-57.61906027
-975.21,82.825,-0.081044,-0.051592672,-57.08432263
-975.04,2.0406,-0.012878,-0.008006999,-60.83429352
-975.04,-57.595,0.037441,0.024201332,54.70636202
-974.99,95.448,-0.091689,-0.058381201,-57.05226708
-974.97,-111.04,0.082358,0.052850393,55.83233233
-974.86,122.6,-0.11452,-0.072897215,-57.09790846
-974.77,-43.555,0.025618,0.016642209,53.93388867
-974.37,-224.95,0.17698,0.112427618,57.41683618
-974.37,224.95,-0.19983,-0.126508573,-57.95767396
-974.29,-131.49,0.09954,0.063781216,56.06475742
-974.13,-70.288,0.048182,0.031079264,55.0294115
-974.07,-199.13,0.15578,0.099232717,56.98451572
-973.95,129.59,-0.12048,-0.076711672,-57.05562944
-973.9,197.77,-0.17742,-0.112578151,-57.59718763
-973.9,-175.6,0.13633,0.087036479,56.63547313
-973.78,175.02,-0.15852,-0.100736698,-57.36072644
-973.41,48.637,-0.052297,-0.033265177,-57.21245108
-973.33,203.78,-0.18251,-0.115790226,-57.62124802
-973.21,-83.225,0.059139,0.038093411,55.2473214
-973.16,230.15,-0.20436,-0.129392797,-57.93769417
-973.15,136.4,-0.12629,-0.080425626,-57.02706474
-973.13,-230.27,0.18157,0.115355035,57.40101916
-973.1,62.261,-0.063828,-0.040647367,-57.02862127
-972.99,29.227,-0.035893,-0.022766172,-57.65935546
-972.78,-205.21,0.16102,0.102574677,56.97831517
-972.66,181.66,-0.16422,-0.104375259,-57.33613685
-972.55,-17.185,0.0033939,0.002416992,40.41833754
-972.54,-30.077,0.014304,0.009410976,51.99274458
-972.44,143.3,-0.13217,-0.084175326,-57.01750937
-972.22,102.47,-0.097846,-0.062384448,-56.84357859
-972.15,-124.42,0.093854,0.060236763,55.80850599
-971.9,209.91,-0.18785,-0.119207146,-57.58283431
-971.89,-97.242,0.071044,0.045719196,55.39205817
-971.89,-169.6,0.13164,0.084170696,56.39647253
-971.82,188.23,-0.16983,-0.107942077,-57.33438272
-971.74,-236.04,0.18658,0.118546645,57.38952397
-971.71,236.17,-0.20961,-0.132741641,-57.90824774
-971.7,-104.73,0.077363,0.049752336,55.49621588
-971.68,150.23,-0.13808,-0.087947109,-57.00345609
-971.67,-211.42,0.16634,0.105954651,56.99169207
-971.66,-182.01,0.14199,0.090699288,56.55029219
-971.64,76.014,-0.075544,-0.048169155,-56.83065174
-971.52,157.02,-0.14379,-0.09156593,-57.03438972
