-1000,1.2246e-13,-0.61284
-999.98,-5.6832,-0.57694
-999.98,5.9137,-0.65023
-999.93,-11.662,-0.53918
-999.93,11.833,-0.68767
-999.85,-17.452,-0.50264
-999.85,17.452,-0.72325
-999.74,22.764,-0.7569
-999.72,-23.62,-0.46372
-999.59,28.656,-0.79421
-999.56,-29.53,-0.42644
-999.39,-34.899,-0.39255
-999.39,34.899,-0.83379
-999.18,-40.458,-0.35751
-999.17,40.788,-0.87113
-998.94,-46.091,-0.32491
-998.91,46.666,-0.9016
-998.63,-52.336,-0.29046
-998.63,52.336,-0.95014
-998.31,-58.042,-0.24713
-998.28,58.606,-0.97793
-997.96,-63.837,-0.21932
-997.93,64.327,-1.0281
-997.56,-69.756,-0.17497
-997.56,69.756,-1.0789
-997.17,75.171,-1.1591
-997.14,-75.559,-0.13858
-996.7,81.217,-1.1672
-996.68,-81.474,-0.10416
-996.19,-87.156,-0.067334
-996.19,87.156,-1.1502
-995.66,93.093,-1.1911
-995.63,-93.389,-0.028608
-995.1,98.831,-1.2354
-995.08,-99.109,0.0070261
-994.87,-8.6417,-0.54934
-994.81,16.848,-0.70705
-994.68,-28.274,-0.42321
-994.6,-21.563,-0.48153
-994.58,24.061,-0.77136
-994.56,-15.113,-0.52243
-994.53,-1.9495,-0.60597
-994.52,-104.53,0.045766
-994.52,104.53,-1.2692
-994.49,10.053,-0.68787
-994.46,30.953,-0.81526
-994.06,-35.369,-0.39417
-993.97,3.7433,-0.642
-993.93,-109.99,0.074044
-993.86,110.67,-1.3097
-993.78,-47.512,-0.3138
-993.76,37.42,-0.84779
-993.52,43.872,-0.88853
-993.28,-41.246,-0.3529
-993.26,-115.93,0.11243
-993.25,116.02,-1.3438
-993.17,56.305,-0.96711
-992.99,49.962,-0.92712
-992.91,-54.047,-0.27264
-992.62,69.603,-1.0513
-992.61,-59.714,-0.23706
-992.55,63.166,-1.0107
-992.55,-121.87,0.14964
-992.55,121.87,-1.3813
-992.17,-66.106,-0.19692
-992.11,76.945,-1.0978
-991.85,-71.815,-0.16108
-991.85,-127.44,0.18464
-991.82,127.62,-1.4181
-991.56,-78.397,-0.11986
-991.12,132.96,-1.4521
-991.09,83.513,-1.1401
-991.07,-133.31,0.22148
-990.77,-91.208,-0.039533
-990.72,-84.435,-0.081678
-990.27,89.751,-1.2374
-990.27,-139.17,0.25447
-990.27,139.17,-1.4766
-989.98,-97.912,0.0025534
-989.79,20.259,-0.74781
-989.76,-5.1025,-0.59067
-989.64,-31.706,-0.41629
-989.45,-144.87,0.29693
-989.38,145.32,-1.5069
-989.37,95.802,-1.2799
-989.32,107.52,-1.3096
-989.25,-104.56,0.050205
-989.24,-11.752,-0.53447
-989.23,27.522,-0.78128
-989.19,-25.078,-0.45088
-989.07,13.567,-0.69354
-989,-18.443,-0.49248
-988.87,101.52,-1.2474
-988.69,-111.21,0.085867
-988.58,-150.72,0.32921
-988.5,151.24,-1.5602
-988.41,33.664,-0.82013
-988.32,-49.997,-0.2947
-988.3,6.9795,-0.65219
-988.07,40.756,-0.86495
-987.82,73.12,-1.0691
-987.69,59.775,-0.98501
-987.69,-156.43,0.36505
-987.69,156.43,-1.5938
-987.64,-43.666,-0.33409
-987.63,118.47,-1.3551
-987.48,-117.87,0.12793
