,,,stan,er
-986.88,65.503,-0.069039,-0.041619532,-65.88125115
-986.75,-162.25,0.12955,0.078434557,65.16954426
-986.72,162.45,-0.15338,-0.092403516,-65.98935519
-986.61,124.87,-0.12083,-0.072882931,-65.78641676
-986.55,-129.97,0.1017,0.061739452,64.72449492
-986.3,-51.663,0.033532,0.020572487,62.99439043
-986.21,-83.336,0.061196,0.03732049,63.9742686
-986.14,45.155,-0.051271,-0.030870022,-66.0866963
-986.06,-124.47,0.096988,0.058919863,64.6100242
-985.81,25.979,-0.034478,-0.020689453,-66.64529514
-985.79,131.38,-0.12657,-0.076370502,-65.7315285
-985.74,-168.3,0.1349,0.081675214,65.16638626
-985.73,168.31,-0.15858,-0.09556188,-65.94483092
-985.73,-64.269,0.044582,0.027273432,63.46311086
-985.49,77.732,-0.07982,-0.048173814,-65.6916748
-985.14,88.687,-0.089424,-0.053991813,-65.62510929
-985,138.11,-0.13252,-0.079976545,-65.69858114
-985,-135.84,0.10697,0.064954367,64.6848479
-984.94,-77.028,0.05578,0.034066917,63.73656631
-984.9,-95.646,0.072033,0.043896953,64.09567353
-984.81,-173.65,0.13964,0.084546314,65.16391318
-984.81,173.65,-0.16333,-0.098444338,-65.91101484
-984.8,100.59,-0.099854,-0.060303627,-65.58539759
-984.01,144.94,-0.13858,-0.08365462,-65.65731892
-983.98,-141.44,0.11195,0.067981559,64.67701123
-983.98,-33.312,0.017547,0.010893274,61.08105327
-983.9,-89.631,0.066866,0.040794984,63.90740566
-983.87,178.9,-0.16802,-0.101287106,-65.88488529
-983.8,-101.8,0.077493,0.047221211,64.10633782
-983.73,-179.63,0.14495,0.087767046,65.15310361
-983.29,18.951,-0.028358,-0.016997803,-66.83332441
-983.19,-147.12,0.11696,0.071021608,64.68227606
-983.19,151.73,-0.14459,-0.087296875,-65.63021239
-983.09,107.22,-0.10581,-0.063951311,-65.45399676
-982.94,-22.736,0.0082856,0.005271557,57.17556225
-982.81,184.64,-0.17315,-0.104402782,-65.84807051
-982.69,-185.27,0.14997,0.090810285,65.14649108
-982.62,-153.06,0.12219,0.074182084,64.71632217
-982.6,-9.0528,-0.0037389,-0.002036942,-83.55452523
-982.53,37.843,-0.044987,-0.027108922,-65.94905513
